# Pressure [MeV/fm^3],Energy Density [MeV/fm^3],Number Density [/fm^3]
1.469420700337511749e-08,6.733512757596432402e-05,7.233507417360160877e-08
1.506890345309753725e-08,6.861635808110928749e-05,7.371115335975724962e-08
1.545306752079333485e-08,6.992196929745973029e-05,7.511341063376591712e-08
1.584694584069234173e-08,7.125242523678572675e-05,7.654234399915131458e-08
1.625080070020070584e-08,7.260819876465213728e-05,7.799846093329604894e-08
1.666489451220991554e-08,7.398977173327388299e-05,7.948227856766923821e-08
1.708948779865250460e-08,7.539763514823040697e-05,8.099432387148270970e-08
1.752483971202160108e-08,7.683228934394959635e-05,8.253513383884114299e-08
1.797120913890400628e-08,7.829424416379643305e-05,8.410525567945229244e-08
1.842885673297454407e-08,7.978401914561831197e-05,8.570524701296542229e-08
1.889804814968066148e-08,8.130214371342099405e-05,8.733567606700669654e-08
1.937905881234035012e-08,8.284915737597858777e-05,8.899712187898180081e-08
1.987218060510762740e-08,8.442560993333203664e-05,9.069017450171787330e-08
2.037772981796806901e-08,8.603206168993414546e-05,9.241543521301716638e-08
2.089603800560576944e-08,8.766908363459030519e-05,9.417351672919757298e-08
2.142743467459906860e-08,8.933725760262364185e-05,9.596504342269505997e-08
2.197224669369341027e-08,9.103717647960079249e-05,9.779065154380606751e-08
2.253079902148648344e-08,9.276944441342736955e-05,9.965098944664796062e-08
2.310341636881780772e-08,9.453467703271405749e-05,1.015467178194183448e-07
2.369042613691234345e-08,9.633350167230027349e-05,1.034785099190346541e-07
2.429216299772959014e-08,9.816655760691694725e-05,1.054470518102372579e-07
2.490897555791506254e-08,1.000344962941639799e-04,1.074530426092416123e-07
2.554123563544218044e-08,1.019379816282041065e-04,1.094971947320251496e-07
2.618934685033614569e-08,1.038776901962997255e-04,1.115802341473377406e-07
2.685372510676382957e-08,1.058543114718864161e-04,1.137029006345252223e-07
2.753478228754343072e-08,1.078685480201194824e-04,1.158659480462577894e-07
2.823292679520347932e-08,1.099211157485274689e-04,1.180701445762564365e-07
2.894856473343467532e-08,1.120127441638415892e-04,1.203162730321123305e-07
2.968210241724105810e-08,1.141441766368378165e-04,1.226051311132965897e-07
3.043395061185940810e-08,1.163161706762606839e-04,1.249375316944583810e-07
3.120453098202154029e-08,1.185294982131080739e-04,1.273143031141128726e-07
3.199428532982565311e-08,1.207849458968013703e-04,1.297362894688206733e-07
3.280368829956225472e-08,1.230833154050288501e-04,1.322043509129639102e-07
3.363325377120413456e-08,1.254254237443831689e-04,1.347193639642250080e-07
3.448350361740807575e-08,1.278121034650807027e-04,1.372822218148768293e-07
3.535495486307615477e-08,1.302442029227698233e-04,1.398938346489948196e-07
3.624812095877747759e-08,1.327225865816840172e-04,1.425551299657034673e-07
3.716351389638878424e-08,1.352481353258910943e-04,1.452670529085724086e-07
3.810164814926419852e-08,1.378217467808729737e-04,1.480305666012784586e-07
3.906304695745092337e-08,1.404443356469064130e-04,1.508466524896535562e-07
4.004825158605479017e-08,1.431168340460062130e-04,1.537163106902394570e-07
4.105783431078922236e-08,1.458401918845376099e-04,1.566405603454733443e-07
4.209241572440550652e-08,1.486153772332513359e-04,1.596204399856303546e-07
4.315266338857095591e-08,1.514433766678669748e-04,1.626570078976515543e-07
4.423924977067816799e-08,1.543251955113775925e-04,1.657513425009883929e-07
4.535284494261812630e-08,1.572618581684539531e-04,1.689045427305970941e-07
4.649411849552231817e-08,1.602544084919020617e-04,1.721177284272191449e-07
4.766374271014976904e-08,1.633039101596318301e-04,1.753920407350859753e-07
4.886239802895253131e-08,1.664114470649583934e-04,1.787286425071899717e-07
5.009078150529027315e-08,1.695781237222941369e-04,1.821287187182648400e-07
5.134961906245190551e-08,1.728050656907037139e-04,1.855934768856223845e-07
5.263968257897555196e-08,1.760934200182761504e-04,1.891241474979954955e-07
5.396181122055620892e-08,1.794443557059419267e-04,1.927219844525388846e-07
5.531689410689365633e-08,1.828590640764167312e-04,1.963882655001434744e-07
5.670582080934226466e-08,1.863387590670597543e-04,2.001242926992222301e-07
5.812947780912536456e-08,1.898846776527257087e-04,2.039313928781285531e-07
5.958874992272050384e-08,1.934980802894330438e-04,2.078109181063716159e-07
6.108452385232435963e-08,1.971802513722409811e-04,2.117642461747961627e-07
6.261769487621156503e-08,2.009324997101126649e-04,2.157927810848968203e-07
6.418917764794253825e-08,2.047561590203852955e-04,2.198979535474411423e-07
6.579992228083299466e-08,2.086525884459868778e-04,2.240812214905779920e-07
6.745093712353689270e-08,2.126231730991530943e-04,2.283440705776125841e-07
6.914331298817201505e-08,2.166693246190329704e-04,2.326880147346309042e-07
7.087817996688007103e-08,2.207924815657697469e-04,2.371145966881620775e-07
7.265665719864182564e-08,2.249941097939501980e-04,2.416253885130682637e-07
7.447985264457883303e-08,2.292757029704629575e-04,2.462219921908585097e-07
7.634886500734241669e-08,2.336387831119176130e-04,2.509060401786225161e-07
7.826478890408974001e-08,2.380849011413843652e-04,2.556791959887887966e-07
8.022872434700838279e-08,2.426156374675723340e-04,2.605431547799111798e-07
8.224179276975205936e-08,2.472326025900594012e-04,2.654996439586947236e-07
8.430519737802484812e-08,2.519374377327695570e-04,2.705504237934740447e-07
8.642027135227002372e-08,2.567318155135777887e-04,2.756972880393622790e-07
8.858845742256276977e-08,2.616174406023414082e-04,2.809420645752931799e-07
9.081122800412725893e-08,2.665960501149161979e-04,2.862866160531810806e-07
9.309004336757526019e-08,2.716694141147317000e-04,2.917328405594315502e-07
9.542635395890288519e-08,2.768393362477947141e-04,2.972826722890353064e-07
9.782160438525487727e-08,2.821076543940236980e-04,3.029380822324865778e-07
1.002772419891665640e-07,2.874762413432095198e-04,3.087010788757686965e-07
1.027947314090091338e-07,2.929470054996601881e-04,3.145737089136564771e-07
1.053755768208626870e-07,2.985218916204115057e-04,3.205580579765878533e-07
1.080213539194019153e-07,3.042028815928607237e-04,3.266562513713633788e-07
1.107337538124306668e-07,3.099919952580091655e-04,3.328704548359366515e-07
1.135145920002754677e-07,3.158912911504319445e-04,3.392028753085634816e-07
1.163656987006123844e-07,3.219028669244667251e-04,3.456557617115832882e-07
1.192888885074308839e-07,3.280288600138149481e-04,3.522314057501107119e-07
1.222859639492427839e-07,3.342714483994895479e-04,3.589321427259214631e-07
1.253587221601510093e-07,3.406328514007482436e-04,3.657603523668212437e-07
1.285089677747618617e-07,3.471153304977184391e-04,3.727184596717919817e-07
1.317385339313085558e-07,3.537211901910422606e-04,3.798089357722163921e-07
1.350493136567909398e-07,3.604527789049402587e-04,3.870342988094855308e-07
1.384433043753339394e-07,3.673124899413535561e-04,3.943971148293030102e-07
1.419226660977184315e-07,3.743027624872569494e-04,4.018999986929999644e-07
1.454896937309533412e-07,3.814260824100486509e-04,4.095456150061889386e-07
1.491466783916167913e-07,3.886849827533182659e-04,4.173366790650821739e-07
1.528958927133178646e-07,3.960820445838918289e-04,4.252759578208141595e-07
1.567395951719200531e-07,4.036198979193943008e-04,4.333662708621077424e-07
1.606800396914570718e-07,4.113012226889177459e-04,4.416104914166346249e-07
1.647194936453864268e-07,4.191287497353882500e-04,4.500115473714257384e-07
1.688602667493057832e-07,4.271052618670359200e-04,4.585724223126933370e-07
1.731047538587395692e-07,4.352335949668654190e-04,4.672961565854337974e-07
1.774554952940018459e-07,4.435166391707766093e-04,4.761858483731892213e-07
1.819152470582290623e-07,4.519573400925312951e-04,4.852446547983485811e-07
1.864868904283758410e-07,4.605586996078907887e-04,4.944757930433823313e-07
1.911732824657745813e-07,4.693237764966789191e-04,5.038825414934050981e-07
1.959772531940636654e-07,4.782556875230100073e-04,5.134682409004753524e-07
2.009016114810496510e-07,4.873576085585071922e-04,5.232362955700447816e-07
2.059491591765175447e-07,4.966327757498390384e-04,5.331901745699763792e-07
2.111227164419459314e-07,5.060844867393405255e-04,5.433334129625653010e-07
2.164251614770579117e-07,5.157161019482540314e-04,5.536696130599940530e-07
2.218594884920811685e-07,5.255310459340476695e-04,5.642024457036736912e-07
2.274288885256733936e-07,5.355328088354880832e-04,5.749356515679219710e-07
2.331368205457640941e-07,5.457249478161464587e-04,5.858730424884413519e-07
2.389868318337427789e-07,5.561110878263784149e-04,5.970185028160709820e-07
2.449824198979297285e-07,5.666949224912635726e-04,6.083759907962909202e-07
2.511270356000704766e-07,5.774802154292147304e-04,6.199495399749701912e-07
2.574240914222253856e-07,5.884708016136839690e-04,6.317432606308572595e-07
2.638769813361495895e-07,5.996705887937696638e-04,6.437613412353211410e-07
2.704891157975333489e-07,6.110835589845041958e-04,6.560080499398634431e-07
2.772639760943085485e-07,6.227137700397723970e-04,6.684877360919270221e-07
2.842051930984519710e-07,6.345653573233736014e-04,6.812048317795419840e-07
2.913166562198381736e-07,6.466425354961636944e-04,6.941638534053548340e-07
2.986025577692608155e-07,6.589496001480404583e-04,7.073694032906041586e-07
3.060671106566960536e-07,6.714909285076562425e-04,7.208261713096071755e-07
3.137144461237540571e-07,6.842709806879871499e-04,7.345389365553419218e-07
3.215486244203701190e-07,6.972943012923726652e-04,7.485125690367141918e-07
3.295736536698358473e-07,7.105655210711558662e-04,7.627520314081124182e-07
