ε_c [MeV/fm^3],p_c [MeV/fm^3],R [KM],M [M_sun],Λ,g-cowl [kHz],f-cowl [kHz],p1-cowl [kHz],f-GR [kHz],τ_f [s],p1-GR [kHz],τ_p1 [s]
      573.5708661924,       95.1244043325,       12.1674809767,        1.5203608039,    0.2205152033E+03,        0.7594166810,        2.3264440649,        6.4992915086,        1.8960281995,        0.1863348653,        5.9985865020,        2.6727316692
      590.8530096905,      110.8157653978,       12.0614759115,        1.5913338625,    0.1529502639E+03,        0.7551348707,        2.3698393154,        6.6113307063,        1.9482825926,        0.1715221523,        6.1175974715,        2.4005726408
      608.6558778305,      126.6240894785,       11.9725650279,        1.6584598050,    0.1098342556E+03,        0.7491185693,        2.4060720117,        6.7084442817,        1.9922223675,        0.1607737782,        6.2265226859,        2.3202689391
      626.9951604574,      142.5383134414,       11.8972514662,        1.7204613983,    0.8160588216E+02,        0.7425048826,        2.4358658891,        6.7942588010,        2.0289683251,        0.1530388711,        6.3258983660,        2.3548150296
      645.8870201636,      158.5139991446,       11.8319357107,        1.7767658685,    0.6266008701E+02,        0.7358778723,        2.4603749782,        6.8702278794,        2.0598148338,        0.1475107261,        6.4161459985,        2.4704103296
      665.3481065332,      174.4341785837,       11.7741646595,        1.8270877613,    0.4955235706E+02,        0.7295961022,        2.4804695789,        6.9384977730,        2.0858434491,        0.1436100261,        6.4974228757,        2.6530691333
      685.3955708154,      190.3257496058,       11.7219274755,        1.8718990634,    0.4025021550E+02,        0.7237723038,        2.4973103001,        6.9997838528,        2.1081774465,        0.1408832377,        6.5707059272,        2.8979200023
      706.0470810402,      206.1659244302,       11.6734971842,        1.9116018810,    0.3344322606E+02,        0.7184802257,        2.5115942009,        7.0547307971,        2.1276139795,        0.1390206951,        6.6366681236,        3.2090910963
      727.3208375892,      221.9303671750,       11.6283840205,        1.9466364740,    0.2833155855E+02,        0.7137343965,        2.5238533844,        7.1047763610,        2.1447653848,        0.1377979414,        6.6959327547,        3.5926023203
      749.2355892359,      237.5532042304,       11.5857133452,        1.9773676088,    0.2442013559E+02,        0.7095681911,        2.5345161530,        7.1518098770,        2.1600620716,        0.1370517832,        6.7489553873,        4.0571826376
      771.8106496692,      253.0342326343,       11.5449428838,        2.0042845460,    0.2138666808E+02,        0.7059021895,        2.5440446762,        7.1935138132,        2.1738931094,        0.1366562678,        6.7963842817,        4.6127152191
      795.0659145147,      268.4019538636,       11.5057915690,        2.0278671164,    0.1897701116E+02,        0.7027109463,        2.5526795054,        7.2315597987,        2.1865768333,        0.1365185807,        6.8388629285,        5.2779839644
      819.0218788689,      283.6560874134,       11.4680807741,        2.0484898845,    0.1702662609E+02,        0.6999562833,        2.5605922506,        7.2664439138,        2.1983352899,        0.1365697791,        6.8768586902,        6.0820498157
